,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,MSRPbinned,wheels-awd,wheels-4wd,wheels-fwd,wheels-rwd
95,Nissan,200SX,1998,regular unleaded,140.0,4.0,MANUAL,2.0,Compact,Coupe,28,20,2009,2073,Cheap,0,0,1,0
96,Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,26,19,2009,3713,Cheap,0,0,0,1
97,Nissan,240SX,1996,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,26,19,2009,3520,Cheap,0,0,0,1
98,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,26,19,2009,3910,Cheap,0,0,0,1
99,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,26,19,2009,4182,Cheap,0,0,0,1
100,Nissan,240SX,1997,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,26,19,2009,4107,Cheap,0,0,0,1
101,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,25,20,2009,4299,Cheap,0,0,0,1
102,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,25,20,2009,4693,Cheap,0,0,0,1
103,Nissan,240SX,1998,regular unleaded,155.0,4.0,MANUAL,2.0,Compact,Coupe,25,20,2009,4107,Cheap,0,0,0,1
104,Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,4.0,Midsize,Wagon,26,19,870,2000,Cheap,0,0,0,1
105,Volvo,240,1991,regular unleaded,114.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,23,18,870,2000,Cheap,0,0,0,1
106,Volvo,240,1991,regular unleaded,114.0,4.0,MANUAL,4.0,Midsize,Sedan,26,19,870,2000,Cheap,0,0,0,1
108,Volvo,240,1992,regular unleaded,114.0,4.0,MANUAL,4.0,Midsize,Wagon,26,19,870,2000,Cheap,0,0,0,1
110,Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,4.0,Midsize,Sedan,26,19,870,2000,Cheap,0,0,0,1
111,Volvo,240,1993,regular unleaded,114.0,4.0,MANUAL,4.0,Midsize,Wagon,25,18,870,2000,Cheap,0,0,0,1
112,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,16020,Cheap,0,0,1,0
113,Mazda,2,2012,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,14530,Cheap,0,0,1,0
114,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,16860,Cheap,0,0,1,0
115,Mazda,2,2012,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,15370,Cheap,0,0,1,0
116,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,17050,Cheap,0,0,1,0
117,Mazda,2,2013,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,15560,Cheap,0,0,1,0
118,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,16210,Cheap,0,0,1,0
119,Mazda,2,2013,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,14720,Cheap,0,0,1,0
120,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,17050,Cheap,0,0,1,0
121,Mazda,2,2014,regular unleaded,100.0,4.0,AUTOMATIC,4.0,Compact,4dr Hatchback,34,28,586,15560,Cheap,0,0,1,0
122,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,16210,Cheap,0,0,1,0
123,Mazda,2,2014,regular unleaded,100.0,4.0,MANUAL,4.0,Compact,4dr Hatchback,35,29,586,14720,Cheap,0,0,1,0
124,BMW,3 Series Gran Turismo,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,4.0,Midsize,4dr Hatchback,30,20,3916,47250,Cheap,1,0,0,0
127,BMW,3 Series Gran Turismo,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,4.0,Midsize,4dr Hatchback,34,22,3916,43000,Cheap,1,0,0,0
128,BMW,3 Series Gran Turismo,2016,premium unleaded (required),300.0,6.0,AUTOMATIC,4.0,Midsize,4dr Hatchback,30,20,3916,49200,Cheap,1,0,0,0
129,BMW,3 Series Gran Turismo,2017,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Midsize,4dr Hatchback,30,20,3916,49650,Cheap,1,0,0,0
130,BMW,3 Series Gran Turismo,2017,premium unleaded (required),248.0,4.0,AUTOMATIC,4.0,Midsize,4dr Hatchback,33,23,3916,43950,Cheap,1,0,0,0
131,BMW,3 Series,2015,premium unleaded (required),241.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,33,22,3916,41950,Cheap,1,0,0,0
132,BMW,3 Series,2015,premium unleaded (required),335.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,33,25,3916,50150,Cheap,0,0,0,1
134,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,32,21,3916,43750,Cheap,0,0,0,1
135,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,45,32,3916,39000,Cheap,0,0,0,1
138,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,23,3916,34950,Cheap,1,0,0,0
139,BMW,3 Series,2015,premium unleaded (required),300.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,30,20,3916,45750,Cheap,1,0,0,0
140,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,43,31,3916,43450,Cheap,1,0,0,0
142,BMW,3 Series,2015,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,43,31,3916,41000,Cheap,1,0,0,0
143,BMW,3 Series,2015,premium unleaded (required),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,24,3916,32950,Cheap,0,0,0,1
144,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,40,30,3916,41850,Cheap,1,0,0,0
145,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,33,22,3916,47800,Cheap,1,0,0,0
146,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,42,32,3916,39850,Cheap,0,0,0,1
147,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,34,22,3916,38350,Cheap,0,0,0,1
148,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,34,22,3916,40350,Cheap,1,0,0,0
149,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,MANUAL,4.0,Midsize,Sedan,34,22,3916,38350,Cheap,0,0,0,1
150,BMW,3 Series,2016,premium unleaded (required),240.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,34,22,3916,42650,Cheap,1,0,0,0
151,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,36,24,3916,33150,Cheap,0,0,0,1
152,BMW,3 Series,2016,premium unleaded (required),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,23,3916,35150,Cheap,1,0,0,0
153,BMW,3 Series,2016,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,40,30,3916,44150,Cheap,1,0,0,0
154,BMW,3 Series,2016,premium unleaded (required),320.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,33,22,3916,45800,Cheap,0,0,0,1
155,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,34,23,3916,38750,Cheap,0,0,0,1
156,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,34,23,3916,35450,Cheap,1,0,0,0
157,BMW,3 Series,2017,premium unleaded (recommended),180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,35,23,3916,33450,Cheap,0,0,0,1
158,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,33,23,3916,40750,Cheap,1,0,0,0
159,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,40,30,3916,42250,Cheap,1,0,0,0
160,BMW,3 Series,2017,premium unleaded (recommended),248.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,33,23,3916,42950,Cheap,1,0,0,0
161,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Sedan,42,32,3916,40250,Cheap,0,0,0,1
162,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,31,21,3916,49900,Cheap,1,0,0,0
163,BMW,3 Series,2017,premium unleaded (recommended),320.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,32,21,3916,47900,Cheap,0,0,0,1
164,BMW,3 Series,2017,diesel,180.0,4.0,AUTOMATIC,4.0,Midsize,Wagon,40,30,3916,44450,Cheap,1,0,0,0
165,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Large,Sedan,19,15,617,2232,Cheap,0,0,0,1
166,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,20,15,617,2000,Cheap,0,0,0,1
167,Mercedes-Benz,300-Class,1991,regular unleaded,158.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,22,17,617,2000,Cheap,0,0,0,1
168,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,20,15,617,2105,Cheap,1,0,0,0
169,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,18,15,617,2199,Cheap,1,0,0,0
170,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,22,16,617,2000,Cheap,0,0,0,1
171,Mercedes-Benz,300-Class,1991,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Large,Sedan,19,15,617,2124,Cheap,0,0,0,1
172,Mercedes-Benz,300-Class,1991,regular unleaded,228.0,6.0,MANUAL,2.0,Compact,Convertible,21,14,617,3552,Cheap,0,0,0,1
173,Mercedes-Benz,300-Class,1991,regular unleaded,217.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,22,15,617,2179,Cheap,0,0,0,1
174,Mercedes-Benz,300-Class,1991,diesel,121.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,30,23,617,2000,Cheap,0,0,0,1
175,Mercedes-Benz,300-Class,1992,diesel,121.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,29,23,617,2000,Cheap,0,0,0,1
176,Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,AUTOMATIC,4.0,Large,Sedan,17,14,617,2377,Cheap,0,0,0,1
177,Mercedes-Benz,300-Class,1992,regular unleaded,228.0,6.0,MANUAL,2.0,Compact,Convertible,21,15,617,3814,Cheap,0,0,0,1
178,Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,19,15,617,2207,Cheap,1,0,0,0
179,Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,20,15,617,2000,Cheap,0,0,0,1
180,Mercedes-Benz,300-Class,1992,regular unleaded,217.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,21,15,617,2248,Cheap,0,0,0,1
181,Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,22,16,617,2065,Cheap,0,0,0,1
182,Mercedes-Benz,300-Class,1992,diesel,148.0,6.0,AUTOMATIC,4.0,Large,Sedan,22,18,617,2547,Cheap,0,0,0,1
183,Mercedes-Benz,300-Class,1992,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,18,15,617,2282,Cheap,1,0,0,0
184,Mercedes-Benz,300-Class,1992,regular unleaded,158.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,23,18,617,2000,Cheap,0,0,0,1
185,Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Wagon,19,15,617,2544,Cheap,1,0,0,0
186,Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,2.0,Midsize,Coupe,22,17,617,2397,Cheap,0,0,0,1
187,Mercedes-Benz,300-Class,1993,diesel,121.0,5.0,AUTOMATIC,4.0,Midsize,Sedan,30,23,617,2000,Cheap,0,0,0,1
188,Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,MANUAL,2.0,Compact,Convertible,21,14,617,4174,Cheap,0,0,0,1
189,Mercedes-Benz,300-Class,1993,regular unleaded,217.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,22,17,617,2187,Cheap,0,0,0,1
190,Mercedes-Benz,300-Class,1993,diesel,148.0,6.0,AUTOMATIC,4.0,Large,Sedan,22,18,617,2729,Cheap,0,0,0,1
191,Mercedes-Benz,300-Class,1993,regular unleaded,177.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,19,15,617,2433,Cheap,1,0,0,0
192,Mercedes-Benz,300-Class,1993,regular unleaded,194.0,6.0,AUTOMATIC,4.0,Midsize,Sedan,23,17,617,2247,Cheap,0,0,0,1
193,Mercedes-Benz,300-Class,1993,regular unleaded,228.0,6.0,AUTOMATIC,4.0,Large,Sedan,18,14,617,2540,Cheap,0,0,0,1
194,Mitsubishi,3000GT,1997,regular unleaded,218.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,23,17,436,3941,Cheap,0,0,1,0
195,Mitsubishi,3000GT,1997,regular unleaded,161.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,22,17,436,3295,Cheap,0,0,1,0
196,Mitsubishi,3000GT,1997,regular unleaded,320.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,22,16,436,6008,Cheap,1,0,0,0
197,Mitsubishi,3000GT,1998,regular unleaded,320.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,22,16,436,6710,Cheap,1,0,0,0
198,Mitsubishi,3000GT,1998,regular unleaded,161.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,22,17,436,3701,Cheap,0,0,1,0
199,Mitsubishi,3000GT,1998,regular unleaded,218.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,23,17,436,4671,Cheap,0,0,1,0
200,Mitsubishi,3000GT,1999,regular unleaded,218.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,23,17,436,5306,Cheap,0,0,1,0
201,Mitsubishi,3000GT,1999,regular unleaded,320.0,6.0,MANUAL,2.0,Compact,2dr Hatchback,22,16,436,7600,Cheap,1,0,0,0
